code,Provinces,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
110000000,北京市,2478.76,3710.52,4330.4,5023.77,6060.28,6886.31,8117.78,9846.81,11115,12153.03,13777.94,16000.43,17879.4,19500.6,21330.8,22968.6,24899.26
120000000,天津市,1639.36,1919.09,2150.76,2578.03,3110.97,3697.62,4462.74,5252.76,6719.01,7521.85,9108.83,11190.99,12893.88,14370.16,15722.47,16538.19,17885.39
130000000,河北省,5088.96,5516.76,6018.28,6921.29,8477.63,10096.11,11467.6,13607.32,16011.97,17235.48,20197.09,24228.18,26575.01,28301.4,29421.15,29806.1,31827.86
140000000,山西省,1643.81,2029.53,2324.8,2855.23,3571.37,4179.52,4878.61,6024.45,7315.4,7358.31,9088.06,11100.18,12112.83,12602.2,12759.44,12802.58,12928.34
150000000,内蒙古区,1401.01,1713.81,1940.94,2388.38,3041.07,3895.55,4944.25,6423.18,8496.2,9740.25,11655,14246.11,15880.58,16832.38,17769.51,18032.79,18632.57
210000000,辽宁省,4669.06,5033.08,5458.22,6002.54,6672,8009.01,9304.52,11164.3,13668.58,15212.49,18278.29,22025.92,24846.43,27077.7,28626.58,28743.4,22037.88
220000000,吉林省,1821.19,2120.35,2348.54,2662.08,3122.01,3620.27,4275.12,5284.69,6426.1,7278.75,8577.06,10530.71,11939.24,12981.46,13803.81,14274.11,14886.23
230000000,黑龙江省,3253,3390.13,3637.2,4057.4,4750.6,5511.5,6211.8,7104,8314.37,8587,10235,12503.83,13691.58,1480,15039.4,15083.7,15386.09
310000000,上海市,4551.15,5210.12,5741.03,6694.23,8072.83,9154.18,10572.24,12494.01,14069.86,15046.45,16872.42,19195.69,20181.72,12981.46,23560.94,24964.99,27466.15
320000000,江苏省,8582.73,9456.84,10606.85,12442.87,15003.6,18305.66,21742.05,26018.48,30981.98,34457.3,40903.34,48604.26,54058.22,59161.75,65088.32,70116.38,76086.17
330000000,浙江省,6036.34,6898.34,8003.67,9705.02,11648.7,13437.85,15718.47,18753.73,21462.69,22990.35,27226.75,32000.1,34665.33,37568.49,40153.5,42886.5,46464.98
340000000,安徽省,3038.24,3246.71,3519.72,3923.1,4759.32,5375.12,6112.5,7360.92,8851.66,10062.82,12263.36,15110.31,17212.05,19038.9,20848.75,22005.6,24117.87
350000000,福建省,3920.07,4072.85,4467.55,4983.67,5763.35,6568.93,7583.85,9248.53,10823.01,12236.53,14357.12,17410.21,19701.78,21759.64,24055.76,25979.82,28519.15
360000000,江西省,2003.07,2175.68,2450.48,2807.41,3456.7,4056.76,4820.53,5800.25,6971.05,7655.18,9435.01,11583.8,12948.88,14338.5,15708.59,16723.8,18364.41
370000000,山东省,8542.44,9195.04,10275.5,12078.15,15021.84,18516.87,21900.19,25776.91,30933.28,33896.65,39416.2,45429.21,50013.24,54684.3,59426.59,63002.3,67008.19
410000000,河南省,5137.66,5533.01,6035.48,6867.7,8553.79,10587.42,12362.79,15012.46,18018.53,19480.46,22942.68,27232.04,29599.31,32155.86,34939.38,37010.25,40160.01
420000000,湖北省,4276.32,3880.53,4212.82,4757.45,5633.24,6520.14,7617.47,9333.4,11328.89,12961.1,15806.09,19594.19,22250.45,24668.49,27367.04,29550.19,32297.91
430000000,湖南省,3691.88,3831.9,4151.54,4659.99,5641.94,6511.34,7688.67,9439.6,11555,13059.69,15902.12,19635.19,22154.23,24501.7,27048.46,29047.2,31244.68
440000000,广东省,9662.23,12039.25,13502.42,15844.64,18864.62,22366.54,26587.76,31777.01,36796.71,39482.56,45472.83,52673.59,57067.92,62163.97,67792.24,72812.55,79512.05
450000000,广西省,2050.14,2279.34,2523.73,2821.11,3433.5,4075.75,4746.16,5823.41,7021,7759.16,9502.39,11714.35,13035.1,14378,15672.97,16803.12,18245.07
460000000,海南省,518.48,558.41,621.97,693.2,798.9,894.57,1044.91,1254.17,1503.06,1654.21,2052.12,2515.29,2855.54,3146.46,3500.72,3702.8,4044.51
500000000,重庆市,1589.34,1765.68,1990.01,2272.82,2692.81,3070.49,3907.23,4676.13,5793.66,6530.01,7894.24,10011.13,11409.6,12656.69,14265.4,15719.72,17558.76
510000000,四川省,4010.25,4293.49,4725.01,5333.09,6379.63,7385.11,8690.24,10562.39,12601.23,14151.28,16898.59,21026.68,23872.8,26260.77,28536.66,30103.1,32680.5
520000000,贵州省,993.53,1133.27,1243.43,1426.34,1677.8,1979.06,2338.98,2884.11,3561.56,3912.68,4593.97,5701.84,6852.2,8006.79,9251.01,10502.56,11734.43
530000000,云南省,1955.09,2138.31,2312.82,2556.02,3081.91,3472.89,3988.14,4772.52,5692.12,6169.75,7220.14,8750.95,10309.47,11720.91,12814.59,13717.88,14869.95
540000000,西藏区,117.46,146.04,166.56,189.09,220.34,251.21,290.76,341.43,394.85,441.36,507.46,605.83,701.03,807.7,920.83,1026.39,1150.07
610000000,陕西省,1660.92,2010.62,2253.39,2587.72,3175.58,3675.66,4743.61,5757.29,7314.58,8169.8,10021.53,12391.3,14453.68,16045.21,17689.94,18171.86,19165.39
620000000,甘肃省,983.36,1125.37,1232.03,1399.83,1688.49,1933.98,2276.7,2702.4,3166.82,3387.56,4119.46,5000.47,5650.2,6268,6835.27,6790.32,7152.04
630000000,青海省,263.59,300.13,340.65,390.2,466.1,543.32,648.5,797.35,1018.62,1081.27,1350.43,1634.72,1893.54,2101.05,2301.12,2417.05,2572.49
640000000,宁夏区,265.57,337.44,377.16,445.36,537.16,606.1,725.9,919.11,1203.92,1353.31,1643.41,2060.79,2341.29,2565.1,2752.1,2911.77,3150.06
650000000,新疆区,1364.36,1491.6,1612.65,1886.35,2209.09,2604.19,3045.26,3523.16,4183.21,4277.05,5418.81,6474.54,7505.31,8360.2,9264.1,9324.8,9617.23
